Level,Date and Time,Source,Event ID,Task Category
Error,12/29/2025 11:55:13 PM,Service Control Manager,7043,None,The Universal Device Client Service service did not shut down properly after receiving a preshutdown control.
Error,12/29/2025 11:47:45 PM,Microsoft-Windows-TPM-WMI,1796,None,"The Secure Boot update failed to update SBAT with error Incorrect function.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
Error,12/29/2025 11:40:24 PM,Service Control Manager,7043,None,The Universal Device Client Service service did not shut down properly after receiving a preshutdown control.
Error,12/29/2025 10:55:56 PM,Microsoft-Windows-TPM-WMI,1796,None,"The Secure Boot update failed to update SBAT with error Incorrect function.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
Critical,12/29/2025 10:50:41 PM,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Error,12/29/2025 10:50:35 PM,volmgr,46,None,Crash dump initialization failed!
Error,12/29/2025 10:43:53 PM,Service Control Manager,7043,None,The Universal Device Client Service service did not shut down properly after receiving a preshutdown control.
Critical,12/29/2025 10:43:08 PM,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Error,12/29/2025 10:43:03 PM,volmgr,46,None,Crash dump initialization failed!
Error,12/29/2025 10:43:03 PM,volmgr,161,None,Dump file creation failed due to error during dump creation. BugCheckProgress was: 0x0004004F
Error,12/29/2025 9:58:17 PM,Service Control Manager,7043,None,The Universal Device Client Service service did not shut down properly after receiving a preshutdown control.
Error,12/29/2025 9:54:57 PM,Service Control Manager,7043,None,The Universal Device Client Service service did not shut down properly after receiving a preshutdown control.
Error,12/29/2025 9:43:27 PM,Microsoft-Windows-TPM-WMI,1796,None,"The Secure Boot update failed to update a Secure Boot variable with error Incorrect function.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
